id,video_id,view_count,like_count,dislike_count,favorite_count,comment_count,created_at,updated_at
235,48umoMkf0BY,2188,28,2,0,6,2015-09-28 15:42:00,2015-09-28 15:42:00
236,4B7sa0iaoAY,4534,25,1,0,16,2015-09-28 15:42:00,2015-09-28 15:42:00
237,4BJ5yzIMxHE,725,14,1,0,3,2015-09-28 15:42:01,2015-09-28 15:42:01
238,4Ef1un_6veo,1218,22,24,0,7,2015-09-28 15:42:01,2015-09-28 15:42:01
239,4GerPCi_qqg,45,0,0,0,0,2015-09-28 15:42:02,2015-09-28 15:42:02
240,4J6i0XizPFk,6936,83,2,0,2,2015-09-28 15:42:02,2015-09-28 15:42:02
241,4LUU3ZYW14M,27,0,1,0,0,2015-09-28 15:42:03,2015-09-28 15:42:03
242,4MZQTtGGwKU,1014,15,1,0,5,2015-09-28 15:42:03,2015-09-28 15:42:03
243,4OMXCZ7fRaU,93,0,0,0,0,2015-09-28 15:42:03,2015-09-28 15:42:03
244,4OsWzL4nRsY,5740,28,2,0,0,2015-09-28 15:42:04,2015-09-28 15:42:04
245,4Oy2HFcagpk,4566,41,5,0,11,2015-09-28 15:42:04,2015-09-28 15:42:04
246,4QHOOGZASvw,555,27,3,0,7,2015-09-28 15:42:04,2015-09-28 15:42:04
247,4RCdS7x1ZWk,235,12,2,0,2,2015-09-28 15:42:05,2015-09-28 15:42:05
248,4RfLPJy9mdQ,458,26,3,0,1,2015-09-28 15:42:05,2015-09-28 15:42:05
249,4SpaPEW9PFM,492,8,1,0,4,2015-09-28 15:42:05,2015-09-28 15:42:05
250,4TTjPmobKRE,2790,10,0,0,3,2015-09-28 15:42:06,2015-09-28 15:42:06
251,4WyeFsefvVQ,944,16,3,0,0,2015-09-28 15:42:06,2015-09-28 15:42:06
252,4XVOnEH3OC8,9192,64,340,0,247,2015-09-28 15:42:07,2015-09-28 15:42:07
253,4Y70JVIxlww,34,0,0,0,0,2015-09-28 15:42:07,2015-09-28 15:42:07
254,4eS2N0fSJvw,534,14,1,0,3,2015-09-28 15:42:07,2015-09-28 15:42:07
255,4ebzRKaOXAw,927,19,5,0,2,2015-09-28 15:42:08,2015-09-28 15:42:08
256,4gFOz_UlHbM,59537,264,215,0,7,2015-09-28 15:42:08,2015-09-28 15:42:08
257,4gbN699fBwg,1103,55,10,0,10,2015-09-28 15:42:08,2015-09-28 15:42:08
258,4k8NbyqI7j4,16,0,0,0,0,2015-09-28 15:42:09,2015-09-28 15:42:09
259,4kGXS-FsjtA,727,6,0,0,1,2015-09-28 15:42:09,2015-09-28 15:42:09
260,4pMHlnc_y0A,578,6,0,0,0,2015-09-28 15:42:10,2015-09-28 15:42:10
261,4pR5PwPAeks,327,26,4,0,0,2015-09-28 15:42:10,2015-09-28 15:42:10
262,4sStf_tzM1I,3888,15,1,0,7,2015-09-28 15:42:11,2015-09-28 15:42:11
263,4tGXUoWExB8,2121,88,4,0,3,2015-09-28 15:42:11,2015-09-28 15:42:11
264,4uiMlcrRRAo,92,0,0,0,0,2015-09-28 15:42:11,2015-09-28 15:42:11
265,4vZlShGsXis,10276,197,7,0,51,2015-09-28 15:42:12,2015-09-28 15:42:12
266,4w8bxyN5nj0,999,43,3,0,11,2015-09-28 15:42:12,2015-09-28 15:42:12
267,4xCxBZ1DpyI,2544,3,0,0,5,2015-09-28 15:42:12,2015-09-28 15:42:12
268,4yHaFi9-nx8,10552,28,4,0,27,2015-09-28 15:42:13,2015-09-28 15:42:13
269,51o7mQ2L7-0,1060,0,0,0,0,2015-09-28 15:42:13,2015-09-28 15:42:13
270,51xKZL7Zkac,335,16,2,0,1,2015-09-28 15:42:13,2015-09-28 15:42:13
271,52YCjaqSw7U,5214,81,206,0,31,2015-09-28 15:42:14,2015-09-28 15:42:14
272,53sx8FxzCxA,30057,376,694,0,557,2015-09-28 15:42:14,2015-09-28 15:42:14
273,56jIc6eAsz0,36,3,0,0,0,2015-09-28 15:42:15,2015-09-28 15:42:15
